,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Fulham,Carlos Vinícius,BRA,FW,28-340,1995,3.5,102,1,11,49,45,15,102,8,2,25.0,6,75.0,66,322,91,3,4,2,11,7,80,13
ENG-Premier League,2324,Fulham,Fodé Ballo-Touré,SEN,"DF,MF",27-056,1997,0.6,83,3,31,36,17,1,83,6,3,50.0,2,33.3,45,287,163,5,2,1,0,0,47,4
ENG-Premier League,2324,Fulham,Harrison Reed,ENG,MF,29-032,1995,11.0,678,24,158,388,133,7,678,9,4,44.4,5,55.6,366,1368,403,6,6,1,16,11,477,32
ENG-Premier League,2324,Fulham,Harry Wilson,WAL,FW,26-343,1997,13.8,621,20,92,264,276,36,621,27,12,44.4,12,44.4,385,2473,1127,26,20,11,29,10,457,98
ENG-Premier League,2324,Fulham,Issa Diop,FRA,DF,27-050,1997,12.8,1044,117,512,516,19,6,1044,1,1,100.0,0,0.0,692,3975,2497,11,7,0,3,4,749,1
ENG-Premier League,2324,Fulham,João Palhinha,POR,MF,28-234,1995,20.5,1193,82,385,657,165,25,1193,18,8,44.4,8,44.4,550,2065,711,7,7,0,24,20,670,8
ENG-Premier League,2324,Fulham,Kenny Tete,NED,DF,28-142,1995,7.5,490,36,170,201,123,8,490,17,7,41.2,9,52.9,226,1004,444,15,10,1,6,3,266,33
ENG-Premier League,2324,Fulham,Luke Harris,WAL,MF,18-331,2005,0.8,19,1,8,6,5,1,19,2,0,0.0,2,100.0,9,39,6,0,1,0,0,0,11,0
ENG-Premier League,2324,Fulham,Raúl Jiménez,MEX,FW,32-299,1991,13.8,483,18,49,226,208,55,483,22,8,36.4,12,54.5,277,1218,406,9,12,5,37,27,379,73
ENG-Premier League,2324,Fulham,Rodrigo Muniz,BRA,FW,22-300,2001,7.8,223,14,19,104,103,55,223,10,2,20.0,8,80.0,118,385,128,2,1,1,21,17,163,32
ENG-Premier League,2324,Fulham,Saša Lukić,SRB,MF,27-199,1996,5.4,312,12,78,188,52,7,312,5,4,80.0,1,20.0,187,934,421,4,9,0,6,6,202,10
