,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brighton,Adam Lallana,ENG,MF,35-285,1988,6.4,305,341,89.4,3359,648,213,229,93.0,54,61,88.5,5,5,100.0,1,1.0,1.3,0.0,10,14,4,0,21
ENG-Premier League,2324,Brighton,Adam Webster,ENG,DF,29-046,1995,7.5,638,700,91.1,10816,3551,268,289,92.7,321,343,93.6,34,47,72.3,0,0.1,0.2,-0.1,3,59,2,0,54
ENG-Premier League,2324,Brighton,Ansu Fati,ESP,"MF,FW",21-111,2002,3.8,113,132,85.6,1495,402,74,78,94.9,26,31,83.9,7,8,87.5,0,0.6,0.4,-0.6,5,8,4,0,22
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,21-185,2002,11.0,428,469,91.3,8446,5628,171,173,98.8,190,193,98.4,65,100,65.0,0,0.0,0.0,0.0,0,1,0,0,1
ENG-Premier League,2324,Brighton,Benicio Boaitey,ENG,"DF,FW",20-041,2004,0.2,9,14,64.3,124,19,6,9,66.7,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
ENG-Premier League,2324,Brighton,Billy Gilmour,SCO,MF,22-253,2001,18.9,1575,1727,91.2,24204,6157,854,885,96.5,584,631,92.6,86,137,62.8,1,1.9,2.1,-0.9,19,148,28,2,156
ENG-Premier League,2324,Brighton,Carlos Baleba,CMR,MF,20-047,2004,6.6,364,393,92.6,5677,1303,185,199,93.0,154,160,96.3,16,19,84.2,0,0.1,0.1,-0.1,5,14,1,0,27
ENG-Premier League,2324,Brighton,Danny Welbeck,ENG,"FW,MF",33-085,1990,10.4,241,288,83.7,2714,374,179,202,88.6,48,54,88.9,0,1,0.0,1,1.3,1.1,-0.3,10,13,7,0,24
ENG-Premier League,2324,Brighton,Evan Ferguson,IRL,FW,19-123,2004,12.6,210,253,83.0,2563,307,135,153,88.2,44,49,89.8,9,12,75.0,0,0.5,0.7,-0.5,5,10,4,0,14
ENG-Premier League,2324,Brighton,Facundo Buonanotte,ARG,"MF,FW",19-058,2004,9.3,242,295,82.0,2975,455,163,190,85.8,52,61,85.2,7,9,77.8,1,1.2,0.7,-0.2,11,11,7,0,19
